"BOM Number","BOM Description","Configurable","Type","Part Number","Part Description","Quantity","UOM","Estimated Duration (min)","Instructions"
"WX-FG-1025","","false","Raw Good","WX-RM-3035","WX Raw Component 3035","1","ea","",""
"WX-FG-1025","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.5","hr","",""
"WX-FG-1026","WX Widget Assembly 1026","false","Finished Good","WX-FG-1026","WX Widget Assembly 1026","1","ea","120",""
"WX-FG-1026","","false","Raw Good","WX-SA-2006","WX Sub-Assembly 2006","1","ea","",""
"WX-FG-1026","","false","Raw Good","WX-RM-3037","WX Raw Component 3037","3","ft","",""
"WX-FG-1026","","false","Raw Good","WX-RM-3038","WX Raw Component 3038","4","ea","",""
"WX-FG-1026","","false","Raw Good","WX-RM-3039","WX Raw Component 3039","1","kg","",""
"WX-FG-1026","","false","Raw Good","WX-RM-3040","WX Raw Component 3040","2","ea","",""
"WX-FG-1026","","false","Raw Good","WX-RM-3041","WX Raw Component 3041","3","ea","",""
"WX-FG-1026","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.75","hr","",""
"WX-FG-1027","WX Widget Assembly 1027","false","Finished Good","WX-FG-1027","WX Widget Assembly 1027","1","ea","150",""
"WX-FG-1027","","false","Raw Good","WX-SA-2007","WX Sub-Assembly 2007","1","ea","",""
"WX-FG-1027","","false","Raw Good","WX-RM-3042","WX Raw Component 3042","4","m","",""
"WX-FG-1027","","false","Raw Good","WX-RM-3043","WX Raw Component 3043","1","kg","",""
"WX-FG-1027","","false","Raw Good","WX-RM-3044","WX Raw Component 3044","2","mm","",""
"WX-FG-1027","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1","hr","",""
"WX-FG-1028","WX Widget Assembly 1028","false","Finished Good","WX-FG-1028","WX Widget Assembly 1028","1","ea","180",""
"WX-FG-1028","","false","Raw Good","WX-SA-2008","WX Sub-Assembly 2008","1","ea","",""
"WX-FG-1028","","false","Raw Good","WX-RM-3047","WX Raw Component 3047","1","ft","",""
"WX-FG-1028","","false","Raw Good","WX-RM-3048","WX Raw Component 3048","2","ea","",""
"WX-FG-1028","","false","Raw Good","WX-RM-3049","WX Raw Component 3049","3","kg","",""
"WX-FG-1028","","false","Raw Good","WX-RM-3000","WX Raw Component 3000","4","ea","",""
"WX-FG-1028","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1.25","hr","",""
"WX-FG-1029","WX Widget Assembly 1029","false","Finished Good","WX-FG-1029","WX Widget Assembly 1029","1","ea","210",""
"WX-FG-1029","","false","Raw Good","WX-SA-2009","WX Sub-Assembly 2009","1","ea","",""
"WX-FG-1029","","false","Raw Good","WX-RM-3002","WX Raw Component 3002","2","m","",""
"WX-FG-1029","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","3","kg","",""
"WX-FG-1029","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","4","mm","",""
"WX-FG-1029","","false","Raw Good","WX-RM-3005","WX Raw Component 3005","1","ea","",""
"WX-FG-1029","","false","Raw Good","WX-RM-3006","WX Raw Component 3006","2","L","",""
"WX-FG-1029","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1.5","hr","",""
"WX-FG-1030","WX Widget Assembly 1030","false","Finished Good","WX-FG-1030","WX Widget Assembly 1030","1","ea","60",""
"WX-FG-1030","","false","Raw Good","WX-SA-2010","WX Sub-Assembly 2010","1","ea","",""
"WX-FG-1030","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","3","ft","",""
"WX-FG-1030","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","4","ea","",""
"WX-FG-1030","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","1","kg","",""
"WX-FG-1030","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.5","hr","",""
"WX-FG-1031","WX Widget Assembly 1031","false","Finished Good","WX-FG-1031","WX Widget Assembly 1031","1","ea","90",""
"WX-FG-1031","","false","Raw Good","WX-SA-2011","WX Sub-Assembly 2011","1","ea","",""
"WX-FG-1031","","false","Raw Good","WX-RM-3012","WX Raw Component 3012","4","m","",""
"WX-FG-1031","","false","Raw Good","WX-RM-3013","WX Raw Component 3013","1","kg","",""
"WX-FG-1031","","false","Raw Good","WX-RM-3014","WX Raw Component 3014","2","mm","",""
"WX-FG-1031","","false","Raw Good","WX-RM-3015","WX Raw Component 3015","3","ea","",""
"WX-FG-1031","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.75","hr","",""
"WX-FG-1032","WX Widget Assembly 1032","false","Finished Good","WX-FG-1032","WX Widget Assembly 1032","1","ea","120",""
"WX-FG-1032","","false","Raw Good","WX-SA-2012","WX Sub-Assembly 2012","1","ea","",""
"WX-FG-1032","","false","Raw Good","WX-RM-3017","WX Raw Component 3017","1","ft","",""
"WX-FG-1032","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","2","ea","",""
"WX-FG-1032","","false","Raw Good","WX-RM-3019","WX Raw Component 3019","3","kg","",""
"WX-FG-1032","","false","Raw Good","WX-RM-3020","WX Raw Component 3020","4","ea","",""
"WX-FG-1032","","false","Raw Good","WX-RM-3021","WX Raw Component 3021","1","ea","",""
"WX-FG-1032","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1","hr","",""
"WX-FG-1033","WX Widget Assembly 1033","false","Finished Good","WX-FG-1033","WX Widget Assembly 1033","1","ea","150",""
"WX-FG-1033","","false","Raw Good","WX-SA-2013","WX Sub-Assembly 2013","1","ea","",""
"WX-FG-1033","","false","Raw Good","WX-RM-3022","WX Raw Component 3022","2","m","",""
"WX-FG-1033","","false","Raw Good","WX-RM-3023","WX Raw Component 3023","3","kg","",""
"WX-FG-1033","","false","Raw Good","WX-RM-3024","WX Raw Component 3024","4","mm","",""
"WX-FG-1033","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.25","hr","",""
"WX-FG-1034","WX Widget Assembly 1034","false","Finished Good","WX-FG-1034","WX Widget Assembly 1034","1","ea","180",""
"WX-FG-1034","","false","Raw Good","WX-SA-2014","WX Sub-Assembly 2014","1","ea","",""
"WX-FG-1034","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","3","ft","",""
"WX-FG-1034","","false","Raw Good","WX-RM-3028","WX Raw Component 3028","4","ea","",""
"WX-FG-1034","","false","Raw Good","WX-RM-3029","WX Raw Component 3029","1","kg","",""
"WX-FG-1034","","false","Raw Good","WX-RM-3030","WX Raw Component 3030","2","ea","",""
"WX-FG-1034","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1.5","hr","",""
"WX-FG-1035","WX Widget Assembly 1035","false","Finished Good","WX-FG-1035","WX Widget Assembly 1035","1","ea","210",""
"WX-FG-1035","","false","Raw Good","WX-SA-2015","WX Sub-Assembly 2015","1","ea","",""
"WX-FG-1035","","false","Raw Good","WX-RM-3032","WX Raw Component 3032","4","m","",""
"WX-FG-1035","","false","Raw Good","WX-RM-3033","WX Raw Component 3033","1","kg","",""
"WX-FG-1035","","false","Raw Good","WX-RM-3034","WX Raw Component 3034","2","mm","",""
"WX-FG-1035","","false","Raw Good","WX-RM-3035","WX Raw Component 3035","3","ea","",""
"WX-FG-1035","","false","Raw Good","WX-RM-3036","WX Raw Component 3036","4","L","",""
"WX-FG-1035","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.5","hr","",""
"WX-FG-1036","WX Widget Assembly 1036","false","Finished Good","WX-FG-1036","WX Widget Assembly 1036","1","ea","60",""
"WX-FG-1036","","false","Raw Good","WX-SA-2016","WX Sub-Assembly 2016","1","ea","",""
"WX-FG-1036","","false","Raw Good","WX-RM-3037","WX Raw Component 3037","1","ft","",""
"WX-FG-1036","","false","Raw Good","WX-RM-3038","WX Raw Component 3038","2","ea","",""
"WX-FG-1036","","false","Raw Good","WX-RM-3039","WX Raw Component 3039","3","kg","",""
"WX-FG-1036","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.75","hr","",""
"WX-FG-1037","WX Widget Assembly 1037","false","Finished Good","WX-FG-1037","WX Widget Assembly 1037","1","ea","90",""
"WX-FG-1037","","false","Raw Good","WX-SA-2017","WX Sub-Assembly 2017","1","ea","",""
"WX-FG-1037","","false","Raw Good","WX-RM-3042","WX Raw Component 3042","2","m","",""
"WX-FG-1037","","false","Raw Good","WX-RM-3043","WX Raw Component 3043","3","kg","",""
"WX-FG-1037","","false","Raw Good","WX-RM-3044","WX Raw Component 3044","4","mm","",""
"WX-FG-1037","","false","Raw Good","WX-RM-3045","WX Raw Component 3045","1","ea","",""
"WX-FG-1037","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1","hr","",""
"WX-FG-1038","WX Widget Assembly 1038","false","Finished Good","WX-FG-1038","WX Widget Assembly 1038","1","ea","120",""
"WX-FG-1038","","false","Raw Good","WX-SA-2018","WX Sub-Assembly 2018","1","ea","",""
"WX-FG-1038","","false","Raw Good","WX-RM-3047","WX Raw Component 3047","3","ft","",""
"WX-FG-1038","","false","Raw Good","WX-RM-3048","WX Raw Component 3048","4","ea","",""
"WX-FG-1038","","false","Raw Good","WX-RM-3049","WX Raw Component 3049","1","kg","",""
"WX-FG-1038","","false","Raw Good","WX-RM-3000","WX Raw Component 3000","2","ea","",""
"WX-FG-1038","","false","Raw Good","WX-RM-3001","WX Raw Component 3001","3","ea","",""
"WX-FG-1038","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1.25","hr","",""
"WX-FG-1039","WX Widget Assembly 1039","false","Finished Good","WX-FG-1039","WX Widget Assembly 1039","1","ea","150",""
"WX-FG-1039","","false","Raw Good","WX-SA-2019","WX Sub-Assembly 2019","1","ea","",""
"WX-FG-1039","","false","Raw Good","WX-RM-3002","WX Raw Component 3002","4","m","",""
"WX-FG-1039","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","1","kg","",""
"WX-FG-1039","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","2","mm","",""
"WX-FG-1039","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.5","hr","",""
